origin_id	origin_city	destination_id	destination_city	distance_line	distance_road	distance_railway	is_adjacent	same_province	gdp_gap	income_gap	population_gap	industry_structure_similarity	poi_structure_similarity	hsr_direct_flag	hsr_train_count	hsr_min_travel_time	hsr_avg_travel_time	hsr_service_intensity
1001	City_A	1002	City_B	173.475389	204.520715	183.682445	1	1	1027.988	2300	94.64	0.91	0.9	1	24	136.35	166.35	14.427412
1001	City_A	1003	City_C	260.577036	309.037368	279.235564	0	0	2872.172	4600	191.374	0.87	0.87	1	22	206.02	251.34	8.753083
1001	City_A	1004	City_D	350.174817	412.92786	379.061554	0	0	4077.014	6900	272.004	0.83	0.84	1	17	275.29	335.85	5.061784
1001	City_A	1005	City_E	441.434205	508.567832	474.409138	0	0	5904.442	9200	341.126	0.79	0.81	0	0	339.05	413.64	0.0
1002	City_B	1001	City_A	176.68089	204.459757	186.428401	1	1	1027.988	2300	94.64	0.91	0.9	1	22	136.31	166.3	13.229104
1002	City_B	1003	City_C	160.489896	185.932302	175.938012	1	0	1844.184	2300	96.734	0.91	0.9	1	26	123.95	151.22	17.193493
1002	City_B	1004	City_D	248.986511	293.690987	261.719729	0	0	3049.026	4600	177.364	0.87	0.87	1	20	195.79	238.86	8.373106
1002	City_B	1005	City_E	338.23355	397.125142	368.382593	0	0	4876.454	6900	246.486	0.83	0.84	1	14	264.75	323.0	4.334365
1003	City_C	1001	City_A	275.973847	324.141039	302.713318	0	0	2872.172	4600	191.374	0.87	0.87	1	18	216.09	263.63	6.827751
1003	City_C	1002	City_B	162.083695	190.233495	172.3515	1	0	1844.184	2300	96.734	0.91	0.9	1	26	126.82	154.72	16.80455
1003	City_C	1004	City_D	166.677142	195.336539	175.191111	1	1	1204.842	2300	80.63	0.91	0.9	1	23	130.22	158.87	14.477246
1003	City_C	1005	City_E	268.527842	320.839224	283.837273	0	0	3032.27	4600	149.752	0.87	0.87	1	19	213.89	260.95	7.281088
1004	City_D	1001	City_A	336.602536	398.406803	358.165864	0	0	4077.014	6900	272.004	0.83	0.84	1	16	265.6	324.03	4.937814
1004	City_D	1002	City_B	262.245494	311.114871	285.436486	0	0	3049.026	4600	177.364	0.87	0.87	1	19	207.41	253.04	7.508694
1004	City_D	1003	City_C	166.005635	192.817321	174.616452	1	1	1204.842	2300	80.63	0.91	0.9	1	22	128.54	156.82	14.028823
1004	City_D	1005	City_E	164.198191	191.873159	179.2206	1	0	1827.428	2300	69.122	0.91	0.9	1	24	127.92	156.06	15.3787
1005	City_E	1001	City_A	432.776583	518.312697	460.710533	0	0	5904.442	9200	341.126	0.79	0.81	0	0	345.54	421.56	0.0
1005	City_E	1002	City_B	348.746897	405.522283	382.506356	0	0	4876.454	6900	246.486	0.83	0.84	1	18	270.35	329.83	5.457357
1005	City_E	1003	City_C	263.568578	303.695716	282.480902	0	0	3032.27	4600	149.752	0.87	0.87	1	22	202.46	247.0	8.906883
1005	City_E	1004	City_D	171.380703	203.502657	187.582971	1	0	1827.428	2300	69.122	0.91	0.9	1	26	135.67	165.52	15.708072
